USERID,cluster,LONGITUDE,LATITUDE,FLOOR,BUILDINGID,SPACEID,pts_count,cluster2
0,0,-7597.077721395211,4864981.316226363,1,0,0,44,-1
1,0,-7632.238800000399,4864988.249200001,0,0,134,20,-1
1,1,-7638.067699998617,4865000.6202000035,0,0,133,20,-1
1,2,-7611.0564999990165,4864981.801700001,0,0,120,28,-1
1,3,-7616.688900001345,4864976.028099999,1,0,102,20,-1
1,4,-7611.129000000656,4864977.622000003,1,0,103,20,-1
1,5,-7603.56509999931,4864979.790100003,1,0,105,20,-1
1,6,-7609.2503999993205,4864978.160699999,1,0,104,20,-1
1,7,-7601.616200000048,4864980.348899996,1,0,106,20,-1
1,8,-7587.102299999446,4864986.090999996,1,0,109,20,-1
1,9,-7594.264100000262,4864982.456100002,1,0,108,20,-1
1,10,-7596.20320000127,4864981.900200004,1,0,107,20,-1
1,11,-7632.1528999991715,4864981.8639,2,0,140,20,-1
1,12,-7644.034899998456,4864930.066799998,3,0,201,20,-1
1,13,-7684.298099998385,4864931.812999999,3,0,222,20,-1
2,0,-7519.152399998158,4864949.532200003,2,1,103,20,-1
2,1,-7521.311493223533,4864890.4795969995,2,1,29,20,-1
2,2,-7329.6200825460255,4864766.993265281,3,2,247,20,-1
2,3,-7344.968400001526,4864749.576,3,2,241,20,-1
2,4,-7407.985484921684,4864802.20784454,3,2,201,30,-1
2,5,-7398.209253014997,4864781.773297936,3,2,214,20,-1
2,6,-7393.7288538478315,4864779.287764287,3,2,216,20,-1
2,7,-7391.004063483328,4864784.065812829,3,2,215,20,-1
2,8,-7375.347741452977,4864775.875041321,3,2,223,20,-1
2,9,-7362.8773660361785,4864762.171583611,3,2,230,20,-1
2,10,-7351.539578430355,4864755.907163143,3,2,236,20,-1
5,0,-7356.457600001248,4864764.753700003,2,2,206,20,-1
5,1,-7406.337058655386,4864809.60363944,2,2,217,21,-1
5,2,-7364.689149999991,4864844.801100001,3,2,108,20,0
5,3,-7371.406799999997,4864848.52815,3,2,107,20,1
5,4,-7358.302999999374,4864841.258133333,3,2,109,27,2
5,5,-7329.376800000668,4864825.210199999,3,2,129,31,-1
5,6,-7331.918400000781,4864822.512199998,3,2,122,22,-1
5,7,-7312.662200000137,4864807.624899998,3,2,133,20,-1
6,0,-7359.622230045497,4864835.347137829,4,2,129,20,-1
6,1,-7315.347509888932,4864793.649955437,4,2,141,20,-1
7,0,-7466.445299256593,4864859.364375353,0,1,10,20,-1
7,1,-7445.557873841374,4864826.589670565,0,1,202,60,3
7,2,-7468.870245195925,4864827.937682956,0,1,248,40,4
7,3,-7450.481994569302,4864817.72444879,0,1,247,40,-1
7,4,-7404.491683006287,4864890.416642642,0,1,244,20,-1
7,5,-7427.159742910415,4864893.895438509,0,1,249,20,-1
7,6,-7423.531571190804,4864897.0073547065,0,1,237,20,5
7,7,-7431.860601659864,4864887.897550127,0,1,228,20,-1
7,8,-7437.892353119329,4864891.157209809,0,1,230,20,-1
7,9,-7435.878008328378,4864889.552121739,0,1,229,20,-1
7,10,-7428.572616588324,4864899.786519124,0,1,238,30,-1
7,11,-7435.9163458272815,4864894.709301688,0,1,231,20,-1
7,12,-7427.111388426274,4864903.13028191,1,1,204,20,-1
7,13,-7391.348361590256,4864840.466794608,1,2,143,30,6
7,14,-7375.712884994224,4864844.283069499,1,2,115,20,7
7,15,-7376.317116655409,4864861.756102854,1,2,105,20,8
7,16,-7337.987569941208,4864823.344442104,1,2,125,20,-1
7,17,-7340.246713742614,4864824.597870017,1,2,124,20,-1
7,18,-7317.242233430967,4864811.843984969,1,2,131,20,-1
7,19,-7310.700860090554,4864800.67067712,1,2,134,20,-1
7,20,-7324.331793066114,4864815.76842351,1,2,129,20,-1
7,21,-7332.108800001441,4864822.170999998,1,2,126,20,-1
7,22,-7326.596686867997,4864817.0247963695,1,2,128,20,-1
7,23,-7392.599212441593,4864836.490252828,1,2,140,20,9
7,24,-7314.87246942018,4864793.136659264,1,2,136,23,10
8,0,-7524.232508795336,4864951.067487729,3,1,103,20,11
8,1,-7540.294448828058,4864922.45147932,3,1,104,21,12
