TIMESTAMP,USERID,LONGITUDE,LATITUDE,FLOOR,BUILDINGID,SPACEID,RELATIVEPOSITION,cluster
1371713733,2,-7541.264299999922,4864920.7782000005,2,1,106,2,-1
1371713691,2,-7536.6211999990055,4864934.2251999965,2,1,106,2,-1
1371714095,2,-7519.152399998158,4864949.532200001,2,1,103,2,0
1371713807,2,-7524.570399999618,4864934.093000002,2,1,102,2,-1
1369909710,11,-7632.143599998206,4864982.217100002,0,0,122,2,-1
1371713841,2,-7533.896200001242,4864939.258299999,2,1,105,2,-1
1371713883,2,-7519.152399998158,4864949.532200001,2,1,103,2,0
1371713775,2,-7527.451099999249,4864929.146399997,2,1,101,2,-1
1371714307,2,-7559.497299998999,4864887.650399998,2,1,112,2,-1
1371714128,2,-7510.437173217535,4864949.2514167065,2,1,103,1,-1
1371714200,2,-7528.816401548684,4864959.430612221,2,1,104,1,-1
1371714166,2,-7523.628199998288,4864951.958300002,2,1,104,2,-1
1371714393,2,-7571.093400001526,4864871.7184000015,2,1,110,2,-1
1371714467,2,-7559.78200000152,4864871.373499997,2,1,108,2,-1
1371714433,2,-7562.186200000346,4864866.785099998,2,1,109,2,-1
1371714355,2,-7564.196299999952,4864887.1932,2,1,111,2,-1
1371714509,2,-7555.132300000639,4864885.251500003,2,1,107,2,-1
1371714730,2,-7520.724500000479,4864892.4384,2,1,15,2,-1
1371714802,2,-7521.867186445744,4864889.477093995,2,1,29,1,1
1371714556,2,-7537.339899998158,4864895.785400003,2,1,117,2,-1
1371714772,2,-7526.710926756264,4864892.801808476,2,1,15,1,-1
1371714919,2,-7516.088799998164,4864889.878200002,2,1,16,2,-1
1371714946,2,-7512.604163631797,4864884.949543999,2,1,16,1,-1
1371714879,2,-7520.755800001323,4864891.4821000025,2,1,29,2,1
1371714847,2,-7516.841499999165,4864889.291000001,2,1,28,2,-1
1371714992,2,-7502.449700001627,4864884.176100002,2,1,22,2,-1
1371715041,2,-7489.177499998361,4864899.944899999,2,1,10,2,-1
1371715082,2,-7482.4561760276565,4864901.429579936,2,1,10,1,-1
1371715259,2,-7491.030633945018,4864865.38593483,2,1,2,1,-1
1371715227,2,-7501.221900001168,4864863.072899997,2,1,2,2,-1
1371715133,2,-7480.124099999665,4864894.9306000015,2,1,10,2,-1
1371715373,2,-7506.731899999082,4864850.6839999985,2,1,4,2,-1
1371715304,2,-7502.826900001615,4864860.174599998,2,1,3,2,-1
1371715416,2,-7511.736699998379,4864841.647200003,2,1,5,2,-1
1371715451,2,-7516.474500000479,4864844.597199999,2,1,6,2,-1
1371715559,2,-7504.881400000304,4864865.5295,2,1,9,2,-1
1371715774,2,-7474.652600001544,4864865.9525000015,2,1,27,2,-1
1371715528,2,-7506.529300000519,4864862.554300003,2,1,8,2,-1
1371715490,2,-7511.5214999988675,4864853.5402000025,2,1,7,2,-1
1371715835,2,-7470.518699999899,4864863.662799999,2,1,26,2,-1
1371715871,2,-7469.739100001751,4864864.291500002,2,1,18,2,-1
1371716120,2,-7457.242100000381,4864853.930299997,2,1,216,2,-1
1371715972,2,-7480.431491758674,4864867.1309280535,2,1,17,1,-1
1371715940,2,-7474.582499999553,4864866.872299999,2,1,17,2,-1
1371715902,2,-7466.291100092231,4864859.3389488915,2,1,18,1,-1
1371716152,2,-7458.26419999823,4864852.0842999965,2,1,217,2,-1
1371716690,2,-7331.74799999967,4864767.318000004,3,2,247,2,2
1371716637,2,-7331.400499999521,4864768.478600003,3,2,248,2,-1
1371716209,2,-7461.52404925972,4864852.0464766035,2,1,217,1,-1
1371716719,2,-7327.492165092379,4864766.668530561,3,2,247,1,2
1371716762,2,-7336.700399998575,4864764.478799999,3,2,246,2,-1
1371716797,2,-7337.394799999893,4864763.226999998,3,2,245,2,-1
1371716826,2,-7340.524599999189,4864757.585900001,3,2,244,2,-1
1371716857,2,-7341.214999999851,4864756.341499999,3,2,243,2,-1
1371716935,2,-7339.1538871750245,4864749.384690456,3,2,242,1,-1
1371716982,2,-7337.23213905096,4864752.848840348,3,2,243,1,-1
1371717041,2,-7344.968400001526,4864749.575999999,3,2,241,2,3
1371716896,2,-7344.211399998516,4864750.939999999,3,2,242,2,-1
1371717071,2,-7344.968400001526,4864749.575999999,3,2,241,2,3
1371717264,2,-7347.108300000428,4864748.045599997,3,2,240,2,-1
1371717408,2,-7407.379599999636,4864799.6941,3,2,201,2,4
1371717473,2,-7408.288427382708,4864803.464716807,3,2,201,1,4
1371717506,2,-7410.328999999911,4864800.005599998,3,2,202,2,-1
1371717560,2,-7408.288427382708,4864803.464716807,3,2,201,1,4
1371720043,2,-7413.154800001532,4864789.236699998,3,2,204,2,-1
1371720009,2,-7411.2507000006735,4864792.7678999975,3,2,203,2,-1
1371720080,2,-7413.955299999566,4864787.794299996,3,2,205,2,-1
1371720152,2,-7405.100900001824,4864789.7755,3,2,207,2,-1
1371720112,2,-7413.921399999409,4864785.033399999,3,2,206,2,-1
1371720219,2,-7403.73600000143,4864789.018399999,3,2,209,2,-1
1371720293,2,-7398.11080000177,4864785.8972999975,3,2,211,2,-1
1371720184,2,-7406.063099998981,4864788.219300002,3,2,208,2,-1
1371720254,2,-7404.705499999225,4864787.466200002,3,2,210,2,-1
1371720323,2,-7399.109700001776,4864784.361699998,3,2,212,2,-1
1371720456,2,-7398.5587060302505,4864779.87839587,3,2,214,1,5
1371720385,2,-7397.859799999744,4864783.668200001,3,2,214,2,5
1371720355,2,-7396.896099999547,4864785.223499998,3,2,213,2,-1
1371720511,2,-7415.1630035303515,4864796.084482223,3,2,203,1,-1
1371720724,2,-7395.100707694888,4864777.95992858,3,2,216,1,6
1371720665,2,-7392.357000000775,4864780.615599996,3,2,216,2,6
1371720769,2,-7390.095800001174,4864781.450599998,3,2,217,2,-1
1371720589,2,-7391.35909999907,4864782.1516999975,3,2,215,2,7
1371720627,2,-7390.649026967585,4864785.979925662,3,2,215,1,7
1371724142,11,-7366.751436967404,4864837.214649305,2,2,121,1,0
1371720832,2,-7384.3933999985475,4864778.2870000005,3,2,219,2,-1
1371720896,2,-7383.265599999577,4864777.661399998,3,2,221,2,-1
1371720926,2,-7384.211300000548,4864776.0964,3,2,222,2,-1
1371720798,2,-7391.084499999882,4864779.909699999,3,2,218,2,-1
1371720864,2,-7385.372800000012,4864776.740699999,3,2,220,2,-1
1371721052,2,-7377.651299998164,4864772.941299997,3,2,250,2,-1
1371720964,2,-7376.401000000534,4864773.852899998,3,2,223,2,8
1371721005,2,-7374.294482905418,4864777.897182643,3,2,223,1,8
1371721086,2,-7369.632300000639,4864770.0979999965,3,2,225,2,-1
1371721123,2,-7370.614700000732,4864768.552900001,3,2,224,2,-1
1371721284,2,-7363.038300000129,4864766.439499997,3,2,229,2,-1
1371721161,2,-7369.414400000124,4864767.887100004,3,2,226,2,-1
1371721218,2,-7368.386100001633,4864769.406199999,3,2,227,2,-1
1371721251,2,-7363.996100001038,4864764.880800001,3,2,228,2,-1
1371721462,2,-7356.010200001298,4864762.5402000025,3,2,233,2,-1
1371721401,2,-7361.5406999997795,4864765.608599998,3,2,231,2,-1
1371721316,2,-7362.5265000015515,4864764.065700002,3,2,230,2,9
1371721358,2,-7363.228232070805,4864760.277467221,3,2,230,1,9
1371721433,2,-7356.978100001811,4864760.987300001,3,2,232,2,-1
1371721559,2,-7350.146999999882,4864757.249200001,3,2,236,2,10
1371721594,2,-7352.932156860827,4864754.565126285,3,2,236,1,10
1371721528,2,-7354.719900000841,4864761.8244,3,2,235,2,-1
1371721495,2,-7355.670499999076,4864760.262000002,3,2,234,2,-1
1371721631,2,-7349.2795999981445,4864758.806000002,3,2,237,2,-1
1371713678,2,-7536.6211999990055,4864934.2251999965,2,1,106,2,-1
1371713638,2,-7536.598200000822,4864918.117200002,2,1,101,2,-1
1371721661,2,-7348.8982000015685,4864756.556000002,3,2,238,2,-1
1371721696,2,-7348.012899998575,4864758.103299998,3,2,239,2,-1
1371713720,2,-7541.264299999922,4864920.7782000005,2,1,106,2,-1
1371713829,2,-7533.896200001242,4864939.258299999,2,1,105,2,-1
1371713870,2,-7519.152399998158,4864949.532200001,2,1,103,2,0
